from_matched_field	to_matched_field	n_male	n_female
ARCHAEOLOGY	PHYSICS	111	84
ARCHAEOLOGY	POLITICAL SCI	14	19
ARCHAEOLOGY	PSYCHOLOGY	3	3
ARCHAEOLOGY	SOCIOLOLOGY	6	5
ARCHAEOLOGY	SPANISH LIT	3	0
ARCHAEOLOGY	STATISTICS	37	49
ART HISTORY	ANTHROPOLOGY	10	179
ART HISTORY	ARCHAEOLOGY	0	26
ART HISTORY	ART HISTORY	3	19
ART HISTORY	ASTRONOMY	3	85
ART HISTORY	BIOCHEMISTRY	63	105
ART HISTORY	CHEMISTRY	46	284
ART HISTORY	CLASSICS	10	46
ART HISTORY	COMMUNIC	6	88
ART HISTORY	COMP LIT	122	165
ART HISTORY	COMP SCI	36	433
ART HISTORY	EARTH SCI	1	1
ART HISTORY	ECONOMICS	10	57
ART HISTORY	EDUCATION	21	169
ART HISTORY	ENGINEERING	428	975
ART HISTORY	ENGLISH LIT	46	115
ART HISTORY	EVOLUTION BIO	9	12
ART HISTORY	HISTORY	61	176
ART HISTORY	LINGUISTICS	12	52
ART HISTORY	MATH	18	34
ART HISTORY	MID EAST STUD	3	42
ART HISTORY	MOLEC BIO	132	213
ART HISTORY	MUS TH & COM	1	10
ART HISTORY	NEUROSCI	58	71
ART HISTORY	PHILOSOPHY	0	10
ART HISTORY	PHYSICS	8	18
ART HISTORY	POLITICAL SCI	19	395
ART HISTORY	PSYCHOLOGY	74	166
ART HISTORY	SOCIOLOLOGY	86	338
ART HISTORY	SPANISH LIT	0	20
ART HISTORY	STATISTICS	10	20
ASTRONOMY	ANTHROPOLOGY	64	148
ASTRONOMY	ARCHAEOLOGY	3	0
ASTRONOMY	ART HISTORY	3	12
ASTRONOMY	ASTRONOMY	7	15
ASTRONOMY	BIOCHEMISTRY	33	55
ASTRONOMY	CHEMISTRY	76	24
ASTRONOMY	CLASSICS	232	123
ASTRONOMY	COMMUNIC	0	5
ASTRONOMY	COMP LIT	16	158
ASTRONOMY	COMP SCI	42	150
ASTRONOMY	EARTH SCI	16	101
ASTRONOMY	ECONOMICS	51	106
ASTRONOMY	EDUCATION	41	18
ASTRONOMY	ENGINEERING	31	56
ASTRONOMY	ENGLISH LIT	18	16
ASTRONOMY	EVOLUTION BIO	32	216
ASTRONOMY	HISTORY	35	121
ASTRONOMY	LINGUISTICS	731	455
ASTRONOMY	MATH	34	26
ASTRONOMY	MID EAST STUD	16	51
ASTRONOMY	MOLEC BIO	14	62
ASTRONOMY	MUS TH & COM	3	5
ASTRONOMY	NEUROSCI	23	138
ASTRONOMY	PHILOSOPHY	5	8
ASTRONOMY	PHYSICS	240	372
ASTRONOMY	POLITICAL SCI	21	71
ASTRONOMY	PSYCHOLOGY	6	6
ASTRONOMY	SOCIOLOLOGY	81	62
ASTRONOMY	SPANISH LIT	6	35
ASTRONOMY	STATISTICS	33	35
BIOCHEMISTRY	ANTHROPOLOGY	3	42
BIOCHEMISTRY	ARCHAEOLOGY	86	116
BIOCHEMISTRY	ART HISTORY	45	529
BIOCHEMISTRY	ASTRONOMY	59	202
BIOCHEMISTRY	BIOCHEMISTRY	67	365
BIOCHEMISTRY	CHEMISTRY	22	100
BIOCHEMISTRY	CLASSICS	8	147
BIOCHEMISTRY	COMMUNIC	14	75
BIOCHEMISTRY	COMP LIT	3	7
BIOCHEMISTRY	COMP SCI	49	238
BIOCHEMISTRY	EARTH SCI	390	589
BIOCHEMISTRY	ECONOMICS	5	35
BIOCHEMISTRY	EDUCATION	255	355
BIOCHEMISTRY	ENGINEERING	23	76
BIOCHEMISTRY	ENGLISH LIT	129	474
BIOCHEMISTRY	EVOLUTION BIO	14	32
BIOCHEMISTRY	HISTORY	43	10
BIOCHEMISTRY	LINGUISTICS	4	6
BIOCHEMISTRY	MATH	37	35
BIOCHEMISTRY	MID EAST STUD	149	89
BIOCHEMISTRY	MOLEC BIO	168	316
BIOCHEMISTRY	MUS TH & COM	16	38
BIOCHEMISTRY	NEUROSCI	53	137
BIOCHEMISTRY	PHILOSOPHY	22	31
BIOCHEMISTRY	PHYSICS	95	61
BIOCHEMISTRY	POLITICAL SCI	5	11
BIOCHEMISTRY	PSYCHOLOGY	1	4
BIOCHEMISTRY	SOCIOLOLOGY	107	149
BIOCHEMISTRY	SPANISH LIT	11	43
BIOCHEMISTRY	STATISTICS	148	110
CHEMISTRY	ANTHROPOLOGY	18	27
CHEMISTRY	ARCHAEOLOGY	304	220
CHEMISTRY	ART HISTORY	26	59
CHEMISTRY	ASTRONOMY	17	27
CHEMISTRY	BIOCHEMISTRY	21	27
CHEMISTRY	CHEMISTRY	232	11
CHEMISTRY	CLASSICS	241	48
CHEMISTRY	COMMUNIC	61	22
CHEMISTRY	COMP LIT	376	64
CHEMISTRY	COMP SCI	0	1
CHEMISTRY	EARTH SCI	92	25
CHEMISTRY	ECONOMICS	21	4
CHEMISTRY	EDUCATION	19	58
CHEMISTRY	ENGINEERING	262	65
CHEMISTRY	ENGLISH LIT	0	8
CHEMISTRY	EVOLUTION BIO	3	7
CHEMISTRY	HISTORY	368	205
CHEMISTRY	LINGUISTICS	125	66
CHEMISTRY	MATH	7	3
CHEMISTRY	MID EAST STUD	26	2
CHEMISTRY	MOLEC BIO	139	51
CHEMISTRY	MUS TH & COM	5	0
CHEMISTRY	NEUROSCI	2	0
CHEMISTRY	PHILOSOPHY	116	42
CHEMISTRY	PHYSICS	7	1
CHEMISTRY	POLITICAL SCI	13	57
CHEMISTRY	PSYCHOLOGY	235	69
CHEMISTRY	SOCIOLOLOGY	152	57
CHEMISTRY	SPANISH LIT	405	62
CHEMISTRY	STATISTICS	0	1
CLASSICS	ANTHROPOLOGY	8	47
CLASSICS	ARCHAEOLOGY	4	58
CLASSICS	ART HISTORY	79	495
CLASSICS	ASTRONOMY	13	100
CLASSICS	BIOCHEMISTRY	7	19
CLASSICS	CHEMISTRY	0	20
CLASSICS	CLASSICS	8	106
CLASSICS	COMMUNIC	13	30
CLASSICS	COMP LIT	25	366
CLASSICS	COMP SCI	0	1
CLASSICS	EARTH SCI	69	153
CLASSICS	ECONOMICS	3	12
CLASSICS	EDUCATION	73	56
CLASSICS	ENGINEERING	50	234
CLASSICS	ENGLISH LIT	152	1278
CLASSICS	EVOLUTION BIO	3	20
CLASSICS	HISTORY	3	61
CLASSICS	LINGUISTICS	1	32
CLASSICS	MATH	39	67
CLASSICS	MID EAST STUD	232	416
CLASSICS	MOLEC BIO	33	119
CLASSICS	MUS TH & COM	11	242
CLASSICS	NEUROSCI	18	69
CLASSICS	PHILOSOPHY	66	137
CLASSICS	PHYSICS	1	43
CLASSICS	POLITICAL SCI	10	29
CLASSICS	PSYCHOLOGY	1	54
CLASSICS	SOCIOLOLOGY	8	27
CLASSICS	SPANISH LIT	7	36
CLASSICS	STATISTICS	47	24
COMMUNIC	ANTHROPOLOGY	29	3
COMMUNIC	ARCHAEOLOGY	19	0
COMMUNIC	ART HISTORY	312	26
COMMUNIC	ASTRONOMY	117	29
COMMUNIC	BIOCHEMISTRY	2	0
COMMUNIC	CHEMISTRY	1	0
COMMUNIC	CLASSICS	52	51
COMMUNIC	COMMUNIC	47	6
COMMUNIC	COMP LIT	473	117
COMMUNIC	COMP SCI	13	2
COMMUNIC	EARTH SCI	11	3
COMMUNIC	ECONOMICS	7	1
COMMUNIC	EDUCATION	27	17
COMMUNIC	ENGINEERING	67	17
COMMUNIC	ENGLISH LIT	50	13
COMMUNIC	EVOLUTION BIO	33	6
COMMUNIC	HISTORY	11	10
COMMUNIC	LINGUISTICS	104	42
COMMUNIC	MATH	67	26
COMMUNIC	MID EAST STUD	34	2
COMMUNIC	MOLEC BIO	12	4
COMMUNIC	MUS TH & COM	172	12
COMMUNIC	NEUROSCI	112	3
COMMUNIC	PHILOSOPHY	111	110
COMMUNIC	PHYSICS	31	6
COMMUNIC	POLITICAL SCI	64	21
COMMUNIC	PSYCHOLOGY	96	8
COMMUNIC	SOCIOLOLOGY	13	2
COMMUNIC	SPANISH LIT	28	0
COMMUNIC	STATISTICS	797	301
COMP LIT	ANTHROPOLOGY	37	31
COMP LIT	ARCHAEOLOGY	4	1
COMP LIT	ART HISTORY	1	5
COMP LIT	ASTRONOMY	186	144
COMP LIT	BIOCHEMISTRY	412	17
COMP LIT	CHEMISTRY	186	400
COMP LIT	CLASSICS	16	5
COMP LIT	COMMUNIC	2	0
COMP LIT	COMP LIT	0	0
COMP LIT	COMP SCI	104	235
COMP LIT	EARTH SCI	125	44
COMP LIT	ECONOMICS	97	3
COMP LIT	EDUCATION	45	11
COMP LIT	ENGINEERING	471	354
COMP LIT	ENGLISH LIT	268	89
COMP LIT	EVOLUTION BIO	2	0
COMP LIT	HISTORY	81	90
COMP LIT	LINGUISTICS	640	100
COMP LIT	MATH	313	20
COMP LIT	MID EAST STUD	44	8
COMP LIT	MOLEC BIO	36	48
COMP LIT	MUS TH & COM	10	12
COMP LIT	NEUROSCI	1	1
COMP LIT	PHILOSOPHY	19	5
COMP LIT	PHYSICS	10	1
COMP LIT	POLITICAL SCI	39	79
COMP LIT	PSYCHOLOGY	1	0
COMP LIT	SOCIOLOLOGY	34	97
COMP LIT	SPANISH LIT	63	14
COMP LIT	STATISTICS	163	31
COMP SCI	ANTHROPOLOGY	8	1
COMP SCI	ARCHAEOLOGY	147	31
COMP SCI	ART HISTORY	22	24
COMP SCI	ASTRONOMY	122	192
COMP SCI	BIOCHEMISTRY	82	66
COMP SCI	CHEMISTRY	500	138
COMP SCI	CLASSICS	111	157
COMP SCI	COMMUNIC	19	35
COMP SCI	COMP LIT	120	85
COMP SCI	COMP SCI	113	17
COMP SCI	EARTH SCI	10	1
COMP SCI	ECONOMICS	72	37
COMP SCI	EDUCATION	44	83
COMP SCI	ENGINEERING	154	82
COMP SCI	ENGLISH LIT	94	78
COMP SCI	EVOLUTION BIO	25	9
COMP SCI	HISTORY	19	4
COMP SCI	LINGUISTICS	43	57
COMP SCI	MATH	15	9
COMP SCI	MID EAST STUD	11	78
COMP SCI	MOLEC BIO	1	4
COMP SCI	MUS TH & COM	368	158
COMP SCI	NEUROSCI	14	23
COMP SCI	PHILOSOPHY	29	44
COMP SCI	PHYSICS	22	81
COMP SCI	POLITICAL SCI	47	81
COMP SCI	PSYCHOLOGY	9	13
COMP SCI	SOCIOLOLOGY	33	79
COMP SCI	SPANISH LIT	15	19
COMP SCI	STATISTICS	53	9
EARTH SCI	ANTHROPOLOGY	51	30
EARTH SCI	ARCHAEOLOGY	22	129
EARTH SCI	ART HISTORY	271	179
EARTH SCI	ASTRONOMY	11	151
EARTH SCI	BIOCHEMISTRY	310	129
EARTH SCI	CHEMISTRY	56	34
EARTH SCI	CLASSICS	4	11
EARTH SCI	COMMUNIC	57	53
EARTH SCI	COMP LIT	0	0
EARTH SCI	COMP SCI	0	2
EARTH SCI	EARTH SCI	32	227
EARTH SCI	ECONOMICS	80	52
EARTH SCI	EDUCATION	93	97
EARTH SCI	ENGINEERING	1	12
EARTH SCI	ENGLISH LIT	110	295
EARTH SCI	EVOLUTION BIO	121	405
EARTH SCI	HISTORY	6	23
EARTH SCI	LINGUISTICS	263	173
EARTH SCI	MATH	2	26
EARTH SCI	MID EAST STUD	154	236
EARTH SCI	MOLEC BIO	2	3
EARTH SCI	MUS TH & COM	31	47
EARTH SCI	NEUROSCI	4	2
EARTH SCI	PHILOSOPHY	173	100
EARTH SCI	PHYSICS	137	426
EARTH SCI	POLITICAL SCI	7	70
EARTH SCI	PSYCHOLOGY	193	135
EARTH SCI	SOCIOLOLOGY	3	13
EARTH SCI	SPANISH LIT	22	74
EARTH SCI	STATISTICS	1	2
ECONOMICS	ANTHROPOLOGY	279	330
ECONOMICS	ARCHAEOLOGY	97	13
ECONOMICS	ART HISTORY	95	45
ECONOMICS	ASTRONOMY	16	6
ECONOMICS	BIOCHEMISTRY	186	40
ECONOMICS	CHEMISTRY	13	35
ECONOMICS	CLASSICS	23	6
ECONOMICS	COMMUNIC	89	84
ECONOMICS	COMP LIT	39	41
ECONOMICS	COMP SCI	253	312
ECONOMICS	EARTH SCI	761	96
ECONOMICS	ECONOMICS	83	23
ECONOMICS	EDUCATION	146	15
ECONOMICS	ENGINEERING	115	128
ECONOMICS	ENGLISH LIT	95	29
ECONOMICS	EVOLUTION BIO	94	11
ECONOMICS	HISTORY	190	42
ECONOMICS	LINGUISTICS	17	27
ECONOMICS	MATH	40	27
ECONOMICS	MID EAST STUD	4	5
ECONOMICS	MOLEC BIO	79	24
ECONOMICS	MUS TH & COM	15	15
ECONOMICS	NEUROSCI	3	0
ECONOMICS	PHILOSOPHY	5	1
ECONOMICS	PHYSICS	56	128
ECONOMICS	POLITICAL SCI	46	38
ECONOMICS	PSYCHOLOGY	69	18
ECONOMICS	SOCIOLOLOGY	133	72
ECONOMICS	SPANISH LIT	52	15
ECONOMICS	STATISTICS	55	15
EDUCATION	ANTHROPOLOGY	107	496
EDUCATION	ARCHAEOLOGY	86	131
EDUCATION	ART HISTORY	3	38
EDUCATION	ASTRONOMY	169	285
EDUCATION	BIOCHEMISTRY	72	681
EDUCATION	CHEMISTRY	32	262
EDUCATION	CLASSICS	20	210
EDUCATION	COMMUNIC	6	45
EDUCATION	COMP LIT	2	4
EDUCATION	COMP SCI	34	70
EDUCATION	EARTH SCI	4	4
EDUCATION	ECONOMICS	15	38
EDUCATION	EDUCATION	38	60
EDUCATION	ENGINEERING	43	57
EDUCATION	ENGLISH LIT	79	43
EDUCATION	EVOLUTION BIO	2	4
EDUCATION	HISTORY	1	167
EDUCATION	LINGUISTICS	278	541
EDUCATION	MATH	2	29
EDUCATION	MID EAST STUD	252	230
EDUCATION	MOLEC BIO	16	92
EDUCATION	MUS TH & COM	150	307
EDUCATION	NEUROSCI	32	81
EDUCATION	PHILOSOPHY	5	1
EDUCATION	PHYSICS	24	75
EDUCATION	POLITICAL SCI	30	147
EDUCATION	PSYCHOLOGY	3	8
EDUCATION	SOCIOLOLOGY	372	410
EDUCATION	SPANISH LIT	18	10
EDUCATION	STATISTICS	3	7
ENGINEERING	ANTHROPOLOGY	4	140
ENGINEERING	ARCHAEOLOGY	2	17
ENGINEERING	ART HISTORY	9	140
ENGINEERING	ASTRONOMY	7	116
ENGINEERING	BIOCHEMISTRY	11	59
ENGINEERING	CHEMISTRY	4	126
ENGINEERING	CLASSICS	34	15
ENGINEERING	COMMUNIC	6	41
ENGINEERING	COMP LIT	46	384
ENGINEERING	COMP SCI	0	0
ENGINEERING	EARTH SCI	244	450
ENGINEERING	ECONOMICS	0	6
ENGINEERING	EDUCATION	34	319
ENGINEERING	ENGINEERING	1	38
ENGINEERING	ENGLISH LIT	36	66
ENGINEERING	EVOLUTION BIO	29	188
ENGINEERING	HISTORY	0	6
ENGINEERING	LINGUISTICS	165	101
ENGINEERING	MATH	2	31
ENGINEERING	MID EAST STUD	50	260
ENGINEERING	MOLEC BIO	8	45
ENGINEERING	MUS TH & COM	7	22
ENGINEERING	NEUROSCI	53	273
ENGINEERING	PHILOSOPHY	9	17
ENGINEERING	PHYSICS	39	105
ENGINEERING	POLITICAL SCI	1	12
ENGINEERING	PSYCHOLOGY	22	545
ENGINEERING	SOCIOLOLOGY	20	116
ENGINEERING	SPANISH LIT	11	40
ENGINEERING	STATISTICS	0	6
ENGLISH LIT	ANTHROPOLOGY	9	2
ENGLISH LIT	ARCHAEOLOGY	85	126
ENGLISH LIT	ART HISTORY	74	87
ENGLISH LIT	ASTRONOMY	8	27
ENGLISH LIT	BIOCHEMISTRY	242	40
ENGLISH LIT	CHEMISTRY	180	30
ENGLISH LIT	CLASSICS	270	77
ENGLISH LIT	COMMUNIC	32	5
ENGLISH LIT	COMP LIT	12	5
ENGLISH LIT	COMP SCI	41	9
ENGLISH LIT	EARTH SCI	160	11
ENGLISH LIT	ECONOMICS	1	0
ENGLISH LIT	EDUCATION	32	5
ENGLISH LIT	ENGINEERING	9	2
ENGLISH LIT	ENGLISH LIT	134	32
ENGLISH LIT	EVOLUTION BIO	506	57
ENGLISH LIT	HISTORY	40	8
ENGLISH LIT	LINGUISTICS	17	0
ENGLISH LIT	MATH	9	2
ENGLISH LIT	MID EAST STUD	80	19
ENGLISH LIT	MOLEC BIO	0	1
ENGLISH LIT	MUS TH & COM	174	57
ENGLISH LIT	NEUROSCI	3	2
ENGLISH LIT	PHILOSOPHY	16	7
ENGLISH LIT	PHYSICS	72	20
ENGLISH LIT	POLITICAL SCI	34	31
ENGLISH LIT	PSYCHOLOGY	35	6
ENGLISH LIT	SOCIOLOLOGY	95	9
ENGLISH LIT	SPANISH LIT	38	22
ENGLISH LIT	STATISTICS	116	26
EVOLUTION BIO	ANTHROPOLOGY	6	34
EVOLUTION BIO	ARCHAEOLOGY	28	19
EVOLUTION BIO	ART HISTORY	1	5
EVOLUTION BIO	ASTRONOMY	126	43
EVOLUTION BIO	BIOCHEMISTRY	3	14
EVOLUTION BIO	CHEMISTRY	4	7
EVOLUTION BIO	CLASSICS	197	136
EVOLUTION BIO	COMMUNIC	25	19
EVOLUTION BIO	COMP LIT	128	174
EVOLUTION BIO	COMP SCI	14	1
EVOLUTION BIO	EARTH SCI	5	5
EVOLUTION BIO	ECONOMICS	0	16
EVOLUTION BIO	EDUCATION	9	544
EVOLUTION BIO	ENGINEERING	4	71
EVOLUTION BIO	ENGLISH LIT	13	21
EVOLUTION BIO	EVOLUTION BIO	18	127
EVOLUTION BIO	HISTORY	1	12
EVOLUTION BIO	LINGUISTICS	80	81
EVOLUTION BIO	MATH	19	11
EVOLUTION BIO	MID EAST STUD	12	105
EVOLUTION BIO	MOLEC BIO	19	208
EVOLUTION BIO	MUS TH & COM	35	270
EVOLUTION BIO	NEUROSCI	2	1
EVOLUTION BIO	PHILOSOPHY	446	373
EVOLUTION BIO	PHYSICS	7	36
EVOLUTION BIO	POLITICAL SCI	203	271
EVOLUTION BIO	PSYCHOLOGY	62	256
EVOLUTION BIO	SOCIOLOLOGY	87	705
EVOLUTION BIO	SPANISH LIT	5	23
EVOLUTION BIO	STATISTICS	10	16
HISTORY	ANTHROPOLOGY	29	0
HISTORY	ARCHAEOLOGY	155	11
HISTORY	ART HISTORY	58	46
HISTORY	ASTRONOMY	340	21
HISTORY	BIOCHEMISTRY	314	7
HISTORY	CHEMISTRY	4	2
HISTORY	CLASSICS	180	73
HISTORY	COMMUNIC	5	0
HISTORY	COMP LIT	20	12
HISTORY	COMP SCI	29	6
HISTORY	EARTH SCI	207	29
HISTORY	ECONOMICS	18	1
HISTORY	EDUCATION	98	34
HISTORY	ENGINEERING	110	31
HISTORY	ENGLISH LIT	99	273
HISTORY	EVOLUTION BIO	216	107
HISTORY	HISTORY	251	36
HISTORY	LINGUISTICS	215	36
HISTORY	MATH	130	13
HISTORY	MID EAST STUD	108	16
HISTORY	MOLEC BIO	58	14
HISTORY	MUS TH & COM	33	21
HISTORY	NEUROSCI	155	15
HISTORY	PHILOSOPHY	154	13
HISTORY	PHYSICS	362	48
HISTORY	POLITICAL SCI	13	8
HISTORY	PSYCHOLOGY	96	10
HISTORY	SOCIOLOLOGY	552	18
HISTORY	SPANISH LIT	158	37
HISTORY	STATISTICS	251	39
LINGUISTICS	ANTHROPOLOGY	165	159
LINGUISTICS	ARCHAEOLOGY	78	203
LINGUISTICS	ART HISTORY	0	0
LINGUISTICS	ASTRONOMY	63	85
LINGUISTICS	BIOCHEMISTRY	326	48
LINGUISTICS	CHEMISTRY	12	50
LINGUISTICS	CLASSICS	181	185
LINGUISTICS	COMMUNIC	150	59
LINGUISTICS	COMP LIT	158	17
LINGUISTICS	COMP SCI	56	74
LINGUISTICS	EARTH SCI	41	54
LINGUISTICS	ECONOMICS	8	0
LINGUISTICS	EDUCATION	0	0
LINGUISTICS	ENGINEERING	83	58
LINGUISTICS	ENGLISH LIT	142	485
LINGUISTICS	EVOLUTION BIO	133	288
LINGUISTICS	HISTORY	108	26
LINGUISTICS	LINGUISTICS	123	76
LINGUISTICS	MATH	76	13
LINGUISTICS	MID EAST STUD	90	26
LINGUISTICS	MOLEC BIO	46	38
LINGUISTICS	MUS TH & COM	75	22
LINGUISTICS	NEUROSCI	8	17
LINGUISTICS	PHILOSOPHY	21	18
LINGUISTICS	PHYSICS	27	4
LINGUISTICS	POLITICAL SCI	29	17
LINGUISTICS	PSYCHOLOGY	79	53
LINGUISTICS	SOCIOLOLOGY	344	40
LINGUISTICS	SPANISH LIT	24	19
LINGUISTICS	STATISTICS	1	3
MATH	ANTHROPOLOGY	356	187
MATH	ARCHAEOLOGY	18	4
MATH	ART HISTORY	31	7
MATH	ASTRONOMY	98	14
MATH	BIOCHEMISTRY	56	5
MATH	CHEMISTRY	308	282
MATH	CLASSICS	105	6
MATH	COMMUNIC	85	9
MATH	COMP LIT	42	26
MATH	COMP SCI	30	17
MATH	EARTH SCI	185	111
MATH	ECONOMICS	13	4
MATH	EDUCATION	31	1
MATH	ENGINEERING	13	12
MATH	ENGLISH LIT	14	3
MATH	EVOLUTION BIO	13	12
MATH	HISTORY	132	38
MATH	LINGUISTICS	54	12
MATH	MATH	2	0
MATH	MID EAST STUD	261	70
MATH	MOLEC BIO	56	14
MATH	MUS TH & COM	46	14
MATH	NEUROSCI	48	21
MATH	PHILOSOPHY	11	10
MATH	PHYSICS	0	0
MATH	POLITICAL SCI	3	0
MATH	PSYCHOLOGY	7	1
MATH	SOCIOLOLOGY	14	1
MATH	SPANISH LIT	22	22
MATH	STATISTICS	8	1
MID EAST STUD	ANTHROPOLOGY	2	31
MID EAST STUD	ARCHAEOLOGY	1	3
MID EAST STUD	ART HISTORY	11	56
MID EAST STUD	ASTRONOMY	22	111
MID EAST STUD	BIOCHEMISTRY	2	21
MID EAST STUD	CHEMISTRY	46	215
MID EAST STUD	CLASSICS	2	10
MID EAST STUD	COMMUNIC	149	125
MID EAST STUD	COMP LIT	3	47
MID EAST STUD	COMP SCI	14	77
MID EAST STUD	EARTH SCI	1	0
MID EAST STUD	ECONOMICS	41	524
MID EAST STUD	EDUCATION	67	138
MID EAST STUD	ENGINEERING	57	225
MID EAST STUD	ENGLISH LIT	49	81
MID EAST STUD	EVOLUTION BIO	50	131
MID EAST STUD	HISTORY	75	44
MID EAST STUD	LINGUISTICS	86	241
MID EAST STUD	MATH	46	234
MID EAST STUD	MID EAST STUD	30	146
MID EAST STUD	MOLEC BIO	94	267
MID EAST STUD	MUS TH & COM	0	0
MID EAST STUD	NEUROSCI	11	49
MID EAST STUD	PHILOSOPHY	57	672
MID EAST STUD	PHYSICS	181	370
MID EAST STUD	POLITICAL SCI	14	23
MID EAST STUD	PSYCHOLOGY	13	3
MID EAST STUD	SOCIOLOLOGY	119	276
MID EAST STUD	SPANISH LIT	18	23
MID EAST STUD	STATISTICS	0	1
MOLEC BIO	ANTHROPOLOGY	26	28
MOLEC BIO	ARCHAEOLOGY	35	33
MOLEC BIO	ART HISTORY	39	25
MOLEC BIO	ASTRONOMY	30	10
MOLEC BIO	BIOCHEMISTRY	101	52
MOLEC BIO	CHEMISTRY	44	119
MOLEC BIO	CLASSICS	1	1
MOLEC BIO	COMMUNIC	2	5
MOLEC BIO	COMP LIT	99	76
MOLEC BIO	COMP SCI	291	126
MOLEC BIO	EARTH SCI	61	51
MOLEC BIO	ECONOMICS	7	1
MOLEC BIO	EDUCATION	21	62
MOLEC BIO	ENGINEERING	68	18
MOLEC BIO	ENGLISH LIT	94	111
MOLEC BIO	EVOLUTION BIO	60	23
MOLEC BIO	HISTORY	490	98
MOLEC BIO	LINGUISTICS	9	24
MOLEC BIO	MATH	30	9
MOLEC BIO	MID EAST STUD	201	93
MOLEC BIO	MOLEC BIO	91	122
MOLEC BIO	MUS TH & COM	10	11
MOLEC BIO	NEUROSCI	17	74
MOLEC BIO	PHILOSOPHY	29	28
MOLEC BIO	PHYSICS	381	75
MOLEC BIO	POLITICAL SCI	22	12
MOLEC BIO	PSYCHOLOGY	232	112
MOLEC BIO	SOCIOLOLOGY	6	14
MOLEC BIO	SPANISH LIT	7	8
MOLEC BIO	STATISTICS	101	214
MUS TH & COM	ANTHROPOLOGY	7	14
MUS TH & COM	ARCHAEOLOGY	4	1
MUS TH & COM	ART HISTORY	8	2
MUS TH & COM	ASTRONOMY	119	188
MUS TH & COM	BIOCHEMISTRY	58	100
MUS TH & COM	CHEMISTRY	0	3
MUS TH & COM	CLASSICS	1	5
MUS TH & COM	COMMUNIC	18	52
MUS TH & COM	COMP LIT	3	4
MUS TH & COM	COMP SCI	56	63
MUS TH & COM	EARTH SCI	23	31
MUS TH & COM	ECONOMICS	12	42
MUS TH & COM	EDUCATION	30	213
MUS TH & COM	ENGINEERING	5	573
MUS TH & COM	ENGLISH LIT	28	84
MUS TH & COM	EVOLUTION BIO	5	64
MUS TH & COM	HISTORY	9	33
MUS TH & COM	LINGUISTICS	4	0
MUS TH & COM	MATH	8	81
MUS TH & COM	MID EAST STUD	18	23
MUS TH & COM	MOLEC BIO	7	52
MUS TH & COM	MUS TH & COM	19	122
MUS TH & COM	NEUROSCI	4	6
